instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,minor_faults,page_faults,thread,seconds,workload,class,app,dwarfs,power,MIPS,instructions_per_cycle,instructions_per_loads,instructions_per_stores,instructions_per_branches,instruction_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17909353394,7781117728,1,121885006,688879,246,15840894,4014,3082684053,5071669043,112967924,19419602,8371,13230659,1401,1402,1,2.93,W,CPU,bt,DLA,302,6112.40730170649,2.30164277421918,1353.62519690062,922.230712761261,146.936477108595,4461722.32037867,0.738756933817194,1.08432736641994,44.894770687297,6.30776117455176,0.005651876490862,0.038464761113642,0.000224128694749
18162837666,7874439337,1,124047519,568158,242,15710548,48812,3083955264,5067735044,111919945,19493985,2681,13469316,1401,1401,1,2.94,W,CPU,bt,DLA,302,6177.83594081633,2.30655630054287,1348.46028306114,931.7149708487,146.418387182738,372097.796976153,0.741586543231289,1.07328961247569,45.2799994138668,6.1620296926129,0.004580164154674,0.031281345484003,0.002687465521501
18197074984,7874432621,1,123670358,571230,241,15685243,21635,3086908023,5067024669,112176143,19234043,607,13648466,1397,1397,1,2.93,W,CPU,bt,DLA,302,6210.60579658703,2.31090617696962,1333.26888047345,946.086841128514,147.141766857342,841094.290917495,0.750036256486308,1.05698542303704,45.1702521898975,6.16451507171522,0.004618972640154,0.031391308795631,0.00118892734239
17919936558,7767577467,1,121885986,595910,244,15858076,71186,3076505630,5064088380,112638204,19351072,1793,13611246,1398,1398,1,2.94,W,CPU,bt,DLA,302,6095.21651632653,2.30701742391776,1316.55372021048,926.043609263611,147.022124085701,251734.000477622,0.759558827451514,1.07986275159892,44.9588878388011,6.28563631547651,0.004889077239774,0.033254023978895,0.00397244709933
18193613350,7879791929,0,124055537,613915,244,16009210,29044,3076665225,5054021927,112366117,19215920,739,13407865,1401,1401,1,2.94,W,CPU,bt,DLA,302,6188.30386054422,2.30889514773125,1356.93589919051,946.798974496147,146.657003709556,626415.553987054,0.736954487383343,1.0561904131045,44.9781665677742,6.176129768087,0.004948710995463,0.033743434478341,0.001596384370783
18198029360,7889178007,1,123612923,644712,243,16025128,14393,3080590117,5060544210,115783328,19505485,1367,13256981,1398,1398,1,2.94,W,CPU,bt,DLA,302,6189.80590476191,2.30670791606591,1372.7129396957,932.96984719939,147.217854883991,1264366.6615716,0.728484427502869,1.07184600124197,43.7070198051312,6.36241022088339,0.005215571190724,0.035427572252252,0.000790909813105
18186851690,7878024086,1,123994595,539931,242,15796267,24289,3076176987,5064008253,114244079,19478139,624,13386648,1401,1401,1,2.94,W,CPU,bt,DLA,302,6186.00397619048,2.30855497412349,1358.58145295223,933.705817070101,146.674552144793,748769.059656635,0.736061866461506,1.07100114588332,44.326220643785,6.28168530470927,0.004354472063883,0.029687986090351,0.001335525269245
18205355521,7884926349,1,123509020,485368,241,15842489,82034,3082244020,5058574694,114484524,19487308,3882,13192388,1400,1400,1,2.93,W,CPU,bt,DLA,302,6213.43191843003,2.30888085889463,1379.98939395961,934.216030300337,147.401019949798,221924.513262793,0.724643250431583,1.07041622875869,44.1856638544438,6.28850800897249,0.003929818243234,0.026660726259376,0.004506036693729
18193818214,7880185982,1,123905482,597134,241,15975109,85016,3079463064,5064560460,111988833,19710233,2650,13210690,1399,1399,1,2.94,W,CPU,bt,DLA,302,6188.37354217687,2.30880568752546,1377.2042349037,923.064593604753,146.836265194465,214004.636938929,0.726108716961593,1.08334780353214,45.2237988764469,6.15532329073319,0.004819270224057,0.032820708274446,0.004672795946405
18191752784,7871665128,1,123648020,549524,242,15683738,84551,3081308117,5064033882,111687140,19470609,4008,13511538,1400,1400,1,2.92,W,CPU,bt,DLA,302,6230.05232328767,2.31104251618769,1346.38653157028,934.318632971367,147.125306042102,215157.157029485,0.742728760687846,1.07029868046166,45.3412441396566,6.13943809187155,0.004444260409508,0.03020731462904,0.004647765446459
