instructions,cycles,cpu_clock,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,thread,seconds,workload,class,app,GFlops,Band,IA,MIPS,Instructions_per_cycle,dwarfs,instructions_per_loads,instructions_per_stores,instructions_per_branches,instructions_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17647846058,6118608150,1346.88,1,105908356,717640,147.578668970514,8,104247683,13179,0,3079318120,4923030582,109662327,2177522,3876,4251778,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12341.1510895105,2.88429094090623,DLA,4150.69790990969,8104.55465340878,166.633179142163,1339088.40261021,0.240923339087753,0.123387409026775,44.8926328364343,6.21392132725957,0.006776047019368,0.040664452627333,0.000746776686327
17626638642,6103692743,1341.73,1,105167774,700289,150.177675216946,7,102177517,14473,0,3087646279,4937096857,107405973,2108512,3044,3944337,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12413.1258042254,2.88786467212247,DLA,4468.84701839625,8359.7525847612,167.60494181421,1217898.06135563,0.223771365608052,0.119620765071789,45.9666880630559,6.09338939666453,0.006658779332916,0.03972901551016,0.000821086781998
17596517996,6145241368,1354.51,1,105439636,710282,148.447568712145,8,102259401,13868,0,3088892728,4939924967,103115223,1966930,140,5354672,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12305.2573398601,2.86343805592894,DLA,3286.19904188342,8946.18415296935,166.88712768318,1268857.65762907,0.304302930910377,0.111779500947126,47.9068446275871,5.85997883350785,0.006736385167339,0.040364917659361,0.000788110466125
17631711519,6143063467,1349.49,1,105741703,710686,148.788217299905,6,102599584,23186,0,3085143411,4935342967,104768781,1990126,6,5116024,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12329.8681951049,2.87018221669302,DLA,3446.36997774053,8859.59558289274,166.743215011394,760446.455576641,0.290160373511497,0.112871969227459,47.1070000041329,5.94206528884622,0.006720962305667,0.04030726110929,0.001315016978075
17626054061,6114455499,1347.65,1,105744501,764358,138.344206510562,6,104747356,34283,0,3081507906,4921827030,110136318,2218332,4957,4159188,1,1.42,W,CPU,bt,5.11045,0.03213,159.05539,12412.7141274648,2.88268580315658,DLA,4237.85942376252,7945.63395425031,166.685301782265,514133.945716536,0.235968185823437,0.125855281750687,44.6885016620948,6.248495415868,0.007228347505276,0.043365236334504,0.00194501843018
17734934032,6058615007,1352.53,1,104363915,686676,151.984218175675,7,102779996,144464,0,3094171946,4953610765,110257289,2150920,137,3934881,1,1.44,W,CPU,bt,5.11045,0.03213,159.05539,12315.9264111111,2.92722577874802,DLA,4507.10810110903,8245.2783143957,169.933583193003,122763.692213977,0.221871758468349,0.121281533729925,44.9277395619622,6.21695512377195,0.006579630516927,0.038718835872803,0.008145730891321
17598513640,6102162575,1342.45,1,104755593,679673,154.126459341477,6,103682099,14380,0,3083355312,4933253829,108252247,2217517,3370,4107714,1,1.41,W,CPU,bt,5.11045,0.03213,159.05539,12481.2153475177,2.88397980612636,DLA,4284.25972207413,7936.13471283422,167.995933544092,1223818.75104312,0.233412553129686,0.126005925577701,45.5718376820391,6.15121533638792,0.006488178631188,0.038621045725996,0.000817114461719
17622690521,6107867047,1342.81,0,104810087,689619,151.982597637246,6,102331590,22346,0,3080256708,4933365066,109394062,2258946,3401,4096968,1,1.43,W,CPU,bt,5.11045,0.03213,159.05539,12323.5598048951,2.88524461737518,DLA,4301.39813662201,7801.28897326452,168.139260498849,788628.413183568,0.23248254828727,0.128183945425821,45.0971924417616,6.20756869500949,0.006579700673276,0.039132446840522,0.001268024310668
17614584808,6100798693,1342.66,1,104853959,721523,145.323099887322,6,102215857,24052,0,3085891303,4930907296,109208489,2081094,3253,4070991,1,1.41,W,CPU,bt,5.11045,0.03213,159.05539,12492.6133390071,2.88725881550736,DLA,4326.85427405759,8464.09859814117,167.991604475326,732354.266090138,0.231114786091982,0.118146071717503,45.1513187404324,6.19989004511766,0.006881218476453,0.040961680781276,0.001365459377111
17592683177,6100978997,1344.16,1,104790831,684040,153.194010584176,7,102345413,13659,0,3083046036,4937818125,109778316,2183515,3363,4095085,1,1.41,W,CPU,bt,5.11045,0.03213,159.05539,12477.0802673759,2.88358363234011,DLA,4296.04835479605,8057.04709012762,167.883802515127,1287992.0328721,0.232772054086312,0.124114950404759,44.9799040914419,6.23999846387957,0.00652767034551,0.038882073480087,0.000776402318087
